Field_AT_ID,Field_ID,Table_ID,Table_Name,Field_Name,Field_Type,Redis_Cache,Redis_TTL,Field_Details,One_Or_Many,Registry_Created,Is_Linked_Field,Linked_Table,Linked_Table_ID
recyMFDWoPDyVQB47,fldTfHXDw5Ym9lpU5,tblbiZ0r6hIVfAWsY,IE_All_Users,Last_Name,singleLineText,checked,3600,,,4/8/2025 7:11pm,,,
recOeRJeDpBcxGVOb,flddysHhSh45x3sf8,tblbiZ0r6hIVfAWsY,IE_All_Users,Open_AI_Thread_ID (from Thread_History),multipleLookupValues,checked,3600,,,4/8/2025 7:11pm,,,
recYTz62ZS1hkof4w,fldTjLh14kKpatqIa,tblbiZ0r6hIVfAWsY,IE_All_Users,Action_ID,formula,checked,3600,,,4/8/2025 7:11pm,,,
recGfQSeccJkQqI93,fldLNHRS3ZzIMvp9n,tblbiZ0r6hIVfAWsY,IE_All_Users,Intake_Submitted_Trigger,formula,checked,3600,,,4/8/2025 7:11pm,,,
recpC6ogoWBWkBPU8,fld7g2APHvt8ugJZa,tblbiZ0r6hIVfAWsY,IE_All_Users,Support_Chat_Trigger,formula,checked,3600,,,4/8/2025 7:11pm,,,
reczNNH2JqqwiJE55,fld6fONsHRWOgXJ7M,tblbiZ0r6hIVfAWsY,IE_All_Users,Thread_ID,formula,checked,3600,,,4/8/2025 7:11pm,,,
rec39if2Y8vONoE8F,fldS7xf3IZdEUgEPI,tblbiZ0r6hIVfAWsY,IE_All_Users,LRS_History,multipleRecordLinks,checked,3600,,,4/8/2025 7:11pm,checked,,
recr4dvbmCkhGBuYq,fldPE9HwyOc1XaNvs,tblbiZ0r6hIVfAWsY,IE_All_Users,Interaction_Log_ID (from LRS_History),multipleLookupValues,checked,3600,,,4/8/2025 7:11pm,,,
recColrlo4IWLbyXi,fldHvtcEWDYaZGGbH,tblbiZ0r6hIVfAWsY,IE_All_Users,OpenAI_Thread_ID (from LRS_History),multipleLookupValues,checked,3600,,,4/8/2025 7:11pm,,,
recfNPJggwmnjPrSc,fldhTNJxcrB5Tl0Y2,tblbiZ0r6hIVfAWsY,IE_All_Users,OpenAI_Assistant_ID (from LRS_History),multipleLookupValues,checked,3600,,,4/8/2025 7:11pm,,,
recUs3WnD0F8ZR9pk,fldYyVcs379NQQLYT,tblbiZ0r6hIVfAWsY,IE_All_Users,Raw_JSON_Output (from LRS_History),multipleLookupValues,checked,3600,,,4/8/2025 7:11pm,,,
rec6k060cTIFFkeNf,fldUEGuncPF0T4Pxf,tblbiZ0r6hIVfAWsY,IE_All_Users,Context_02 (from LRS_History),multipleLookupValues,checked,3600,,,4/8/2025 7:11pm,,,
recfaOVPpJFLCDJnh,flddXQHVAi96qTdAr,tblbiZ0r6hIVfAWsY,IE_All_Users,Context_01 (from LRS_History),multipleLookupValues,checked,3600,,,4/8/2025 7:11pm,,,
recwN0ltR9oRvPYz9,fldxCUuljY54EEbXC,tblbiZ0r6hIVfAWsY,IE_All_Users,Date (from LRS_History),multipleLookupValues,checked,3600,,,4/8/2025 7:11pm,,,
recKEUyi4NTFxvV9V,fld72HYAu3BA1m2eS,tblbiZ0r6hIVfAWsY,IE_All_Users,Tech_Tickets,singleLineText,checked,3600,,,4/8/2025 7:11pm,,,
rec8HytIU3Hwljxm6,fldoSLRs8l0HOwr4H,tblbp1cs667ghcqrF,IE_Central_Organizations,Name,singleLineText,checked,3600,,,4/8/2025 7:11pm,,,
recrEJWBcAr4Jw05K,fldd80dVxt6CXDDYF,tblbp1cs667ghcqrF,IE_Central_Organizations,Org_ID,multilineText,checked,3600,,,4/8/2025 7:11pm,,,
recKeS4IDn668FMfB,fldZ4BtfUrz43Tvv0,tblbp1cs667ghcqrF,IE_Central_Organizations,AbbrevClient,singleLineText,checked,3600,,,4/8/2025 7:11pm,,,
recyHcYzVY48LZNeZ,fldAm5UrFiKKjxWCL,tblbp1cs667ghcqrF,IE_Central_Organizations,Logo,multipleAttachments,checked,3600,,,4/8/2025 7:11pm,,,
rec3AKIA4efUpoAHY,fld06cdNOgUafRxD3,tblbp1cs667ghcqrF,IE_Central_Organizations,Client_Project_Director,singleLineText,checked,3600,,,4/8/2025 7:11pm,,,
recsNIWGHRKMRfEAF,fldLbNtH5m3jJIUpR,tblbp1cs667ghcqrF,IE_Central_Organizations,SlackID (from Client_Project_Director) 2,singleLineText,checked,3600,,,4/8/2025 7:11pm,,,
recFoEqXtwRv0vtHR,fldQBbVhcttyy3Lp8,tblbp1cs667ghcqrF,IE_Central_Organizations,Status,singleSelect,checked,3600,,,4/8/2025 7:11pm,,,
